UserID,NormalizedUniqueLocation
0,"0.70,0.22"
0,"0.72,0.22"
0,"0.73,0.22"
0,"0.76,0.15"
0,"0.76,0.22"
0,"0.77,0.20"
0,"0.77,0.23"
0,"0.78,0.29"
1,"0.81,0.50"
1,"0.81,0.51"
1,"0.82,0.51"
1,"0.82,0.52"
1,"0.84,0.50"
1,"0.84,0.51"
1,"0.85,0.51"
1,"0.85,0.52"
2,"0.73,0.16"
2,"0.76,0.15"
4,"0.64,0.05"
4,"0.75,0.15"
4,"0.76,0.15"
4,"0.77,0.16"
5,"0.70,0.22"
5,"0.72,0.22"
5,"0.73,0.16"
5,"0.78,0.18"
5,"0.78,0.29"
7,"0.70,0.22"
8,"0.76,0.15"
8,"0.78,0.29"
9,"0.77,0.23"
10,"0.77,0.23"
11,"0.67,0.27"
11,"0.68,0.27"
11,"0.77,0.23"
12,"0.28,0.36"
12,"0.30,0.37"
12,"0.33,0.37"
12,"0.38,0.39"
13,"0.73,0.16"
13,"0.78,0.30"
13,"0.79,0.29"
13,"0.79,0.30"
13,"0.83,0.15"
13,"0.83,0.17"
13,"0.84,0.15"
14,"0.70,0.22"
14,"0.76,0.15"
14,"0.79,0.30"
15,"0.70,0.22"
15,"0.72,0.22"
15,"0.73,0.16"
15,"0.73,0.18"
15,"0.74,0.20"
15,"0.75,0.15"
15,"0.76,0.15"
15,"0.77,0.16"
15,"0.77,0.20"
15,"0.78,0.29"
15,"0.79,0.29"
15,"0.79,0.30"
15,"0.86,0.50"
15,"0.87,0.51"
16,"0.70,0.24"
16,"0.76,0.15"
16,"0.77,0.20"
16,"0.77,0.29"
16,"0.78,0.29"
17,"0.74,0.24"
17,"0.74,0.25"
17,"0.75,0.24"
17,"0.75,0.25"
17,"0.79,0.25"
18,"0.72,0.17"
19,"0.70,0.22"
19,"0.71,0.20"
19,"0.72,0.17"
19,"0.72,0.18"
19,"0.72,0.19"
19,"0.73,0.26"
19,"0.74,0.24"
19,"0.77,0.28"
20,"0.70,0.23"
20,"0.71,0.23"
20,"0.72,0.22"
20,"0.72,0.23"
20,"0.78,0.29"
20,"0.92,0.53"
20,"0.93,0.53"
21,"0.73,0.16"
21,"0.73,0.17"
21,"0.78,0.29"
22,"0.67,0.27"
22,"0.70,0.22"
22,"0.72,0.22"
22,"0.73,0.16"
22,"0.73,0.17"
22,"0.73,0.26"
22,"0.75,0.17"
22,"0.77,0.28"
22,"0.77,0.29"
22,"0.78,0.29"
22,"0.79,0.25"
22,"0.80,0.25"
22,"0.80,0.27"
22,"0.82,0.15"
23,"0.70,0.27"
23,"0.79,0.28"
23,"0.79,0.29"
23,"0.80,0.28"
23,"0.80,0.29"
24,"0.76,0.15"
24,"0.77,0.23"
24,"0.77,0.28"
24,"0.78,0.27"
24,"0.84,0.51"
25,"0.76,0.15"
26,"0.63,0.06"
26,"0.70,0.22"
26,"0.72,0.18"
26,"0.75,0.15"
26,"0.75,0.17"
26,"0.76,0.15"
26,"0.77,0.16"
27,"0.67,0.27"
27,"0.68,0.22"
27,"0.69,0.21"
27,"0.70,0.20"
27,"0.70,0.21"
27,"0.70,0.22"
27,"0.70,0.23"
27,"0.71,0.20"
27,"0.71,0.21"
27,"0.71,0.22"
27,"0.71,0.27"
27,"0.72,0.22"
27,"0.74,0.21"
27,"0.76,0.15"
27,"0.77,0.26"
27,"0.78,0.29"
28,"0.75,0.23"
28,"0.76,0.23"
28,"0.76,0.24"
28,"0.77,0.20"
28,"0.77,0.23"
28,"0.77,0.24"
28,"0.79,0.23"
28,"0.80,0.23"
28,"0.81,0.23"
29,"0.70,0.22"
29,"0.72,0.22"
29,"0.74,0.22"
29,"0.79,0.25"
