UserID,Normalized Unique Location,Count of Timestamp
0,"0.70,0.22",141
0,"0.72,0.22",1
0,"0.73,0.22",1
0,"0.76,0.15",26
0,"0.76,0.22",1
0,"0.77,0.20",11
0,"0.77,0.23",17
0,"0.78,0.29",27
1,"0.81,0.50",1
1,"0.81,0.51",2
1,"0.82,0.51",1
1,"0.82,0.52",3
1,"0.84,0.50",1
1,"0.84,0.51",1
1,"0.85,0.51",2
1,"0.85,0.52",1
2,"0.73,0.16",1213
2,"0.76,0.15",887
4,"0.64,0.05",14
4,"0.75,0.15",1
4,"0.76,0.15",209
4,"0.77,0.16",1
5,"0.70,0.22",39
5,"0.72,0.22",1
5,"0.73,0.16",1
5,"0.78,0.18",3
5,"0.78,0.29",6
7,"0.70,0.22",75
8,"0.76,0.15",20
8,"0.78,0.29",5
9,"0.77,0.23",150
10,"0.77,0.23",100
11,"0.67,0.27",19
11,"0.68,0.27",1
11,"0.77,0.23",5
12,"0.28,0.36",1
12,"0.30,0.37",7
12,"0.33,0.37",1
12,"0.38,0.39",1
13,"0.73,0.16",7
13,"0.78,0.30",1
13,"0.79,0.29",1
13,"0.79,0.30",65
13,"0.83,0.15",74
13,"0.83,0.17",1
13,"0.84,0.15",1
14,"0.70,0.22",3
14,"0.76,0.15",10
14,"0.79,0.30",7
15,"0.70,0.22",16
15,"0.72,0.22",1
15,"0.73,0.16",1
15,"0.73,0.18",1
15,"0.74,0.20",3
15,"0.75,0.15",1
15,"0.76,0.15",32
15,"0.77,0.16",9
15,"0.77,0.20",2
15,"0.78,0.29",45
15,"0.79,0.29",6
15,"0.79,0.30",6
15,"0.86,0.50",12
15,"0.87,0.51",15
16,"0.70,0.24",1
16,"0.76,0.15",8
16,"0.77,0.20",1
16,"0.77,0.29",2
16,"0.78,0.29",41
17,"0.74,0.24",210
17,"0.74,0.25",1
17,"0.75,0.24",4
17,"0.75,0.25",5
17,"0.79,0.25",5
18,"0.72,0.17",352
19,"0.70,0.22",162
19,"0.71,0.20",1
19,"0.72,0.17",26
19,"0.72,0.18",1
19,"0.72,0.19",2
19,"0.73,0.26",6
19,"0.74,0.24",1
19,"0.77,0.28",1
20,"0.70,0.23",1
20,"0.71,0.23",1
20,"0.72,0.22",10
20,"0.72,0.23",1
20,"0.78,0.29",8
20,"0.92,0.53",2
20,"0.93,0.53",2
21,"0.73,0.16",3
21,"0.73,0.17",21
21,"0.78,0.29",1
22,"0.67,0.27",26
22,"0.70,0.22",259
22,"0.72,0.22",3
22,"0.73,0.16",2
22,"0.73,0.17",19
22,"0.73,0.26",5
22,"0.75,0.17",7
22,"0.77,0.28",36
22,"0.77,0.29",2
22,"0.78,0.29",1509
22,"0.79,0.25",22
22,"0.80,0.25",1
22,"0.80,0.27",9
22,"0.82,0.15",150
23,"0.70,0.27",2
23,"0.79,0.28",16
23,"0.79,0.29",1
23,"0.80,0.28",2
23,"0.80,0.29",4
24,"0.76,0.15",7
24,"0.77,0.23",1
24,"0.77,0.28",1
24,"0.78,0.27",1
24,"0.84,0.51",1
